id,individual,title,description,duration,url,technologiesIds
0,true,On-Page SEO Training Course (Udemy),,2h,,desarrollo-web
1,true,Career Essentials in System Administration (Microsoft & LinkedIn),,5h,https://www.linkedin.com/learning/career-essentials-in-system-administration-by-microsoft-and-linkedin/,seguridad-y-redes
2,true,Networking Basics (Cisco Networking Academy),,22h,https://www.netacad.com/courses/networking-basics?courseLang=en-US,seguridad-y-redes
3,true,Networking Devices and Initial Configuration (Cisco Networking Academy),,22h,https://www.netacad.com/courses/networking-devices-and-initial-configuration?courseLang=en-US,seguridad-y-redes
4,true,Introducción a la Seguridad Cibernética (Cisco Networking Academy),,6h,https://www.netacad.com/courses/introduction-to-cybersecurity?courseLang=en-US,seguridad-y-redes
5,true,"Seminario: Conceptos Prácticos de la seguridad en Informática (FCA.02.18, UNDEF)",,12h,,seguridad-y-redes
node-1,false,Fundamentos del desarrollo web: Full Stack o Front-end,,55 min,https://www.linkedin.com/learning/fundamentos-del-desarrollo-web-full-stack-o-front-end/,nodejs
node-2,false,Desarrollo full stack práctico: Configuración profesional de proyectos,,3h 49min,https://www.linkedin.com/learning/desarrollo-full-stack-practico-configuracion-profesional-de-proyectos/,nodejs
git-1,false,GitHub para programadores,,1h 53min,https://www.linkedin.com/learning/github-para-programadores-2/,git
node-3,false,Node.js esencial,,3h 42min,https://www.linkedin.com/learning/node-js-esencial-2018/,nodejs
web-1,true,Desarrollo de proyectos web avanzado,,2h 24min,https://www.linkedin.com/learning/desarrollo-de-proyectos-web-avanzado/,desarrollo-web|ui-ux|git
node-4,false,Node.js avanzado,,3h 6min,https://www.linkedin.com/learning/node-js-avanzado/,nodejs
node-5,false,Node.js: Trucos,,1h 53min,https://www.linkedin.com/learning/node-js-trucos/,nodejs
angular-1,false,AngularJS práctico: Web app con NodeJS y MongoDB,,2h 35min,https://www.linkedin.com/learning/angularjs-practico-web-app-con-nodejs-y-mongodb/,angular|nodejs|mongodb
javascript-1,false,JavaScript esencial (2017),,5h 27min,https://www.linkedin.com/learning/javascript-esencial-2017/,javascript
javascript-2,false,JavaScript: Errores comunes y cómo solucionarlos,,2h 18min,https://www.linkedin.com/learning/javascript-errores-comunes-y-como-solucionarlos/,javascript
javascript-3,false,JavaScript avanzado: Expresiones regulares,,1h 34min,https://www.linkedin.com/learning/javascript-avanzado-expresiones-regulares/,javascript
javascript-4,false,JavaScript avanzado: Buenas prácticas,,1h 49min,https://www.linkedin.com/learning/javascript-avanzado-buenas-practicas/,javascript
javascript-5,false,JavaScript: Trucos,,1h 19min,https://www.linkedin.com/learning/javascript-trucos/,javascript
javascript-6,false,JavaScript: TDD y pruebas unitarias esencial,,2h 14min,https://www.linkedin.com/learning/javascript-tdd-y-pruebas-unitarias-esencial/,javascript
javascript-7,false,JavaScript: Programación orientada a objetos,,2h 2min,https://www.linkedin.com/learning/javascript-programacion-orientada-a-objetos/,javascript
tests-1,true,End-to-End JavaScript Testing with Cypress.io (2019),,1h 29min,https://www.linkedin.com/learning/end-to-end-javascript-testing-with-cypress-io-2019/,desarrollo-web|javascript
frontend-1,false,Desarrollo web front-end esencial,,5h 2min,https://www.linkedin.com/learning/desarrollo-web-front-end-esencial/,html-css|javascript|jquery
ui-ux-1,false,Diseño de interfaz (UI) esencial,,2h 10min,https://www.linkedin.com/learning/diseno-de-interfaz-ui-esencial/,ui-ux
ui-ux-2,false,Experiencia de usuario (UX) esencial,,1h 44min,https://www.linkedin.com/learning/experiencia-de-usuario-ux-esencial/,ui-ux
